PROVIDER ID NUMBER,PRIMARY OPERATIONAL AREA,ZIP CODE,Comp_Fact1,Comp_Fact2,Comp_Fact3,Comp_Fact4,Comp_Fact5,SH_Fact6,SH_Fact7,SH_Fact8,SH_Fact9,Qlty_Fact10,Qlty_Fact11,Qlty_Fact12,Qlty_Fact13,Reputation
149231,56 PARADE NORTH,14211,HardwareCompatiable,HSInCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149232,612 ADAMS,14211,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,DefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149233,171 ST JAMES,14222,HardwareInCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,DefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149235,311 AUBURN,14213,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,LowVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149236,196 BIDWELL,14222,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,UnDefinedControls,LowReputation
149285,1064 AMHERST ST,14216,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,DefinedProtocols,NoDeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149237,33 DEWITT,14213,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,AutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149238,12 LYMAN,14206,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,UnDefinedControls,LowReputation
149253,135 KIMBERLY,14220,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,HighVariety,DefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,DefinedControls,VeryGoodReputation
149296,1412 MICHIGAN,14209,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149264,100 HIGH,14203,HardwareCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149266,236 CAMBRIDGE,14215,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149267,76 SATTLER,14211,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,LowVariety,DefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149271,100 NICHOLSON,14214,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,LowVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149272,703 DELAWARE,14209,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,DefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149273,110 ANDOVER,14215,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,DeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149275,1 CRESTWOOD,14216,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,DeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149276,530 WINSLOW,14211,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149277,68 SCHAUF,14211,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,LowVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149279,636 DELAWARE,14202,HardwareCompatiable,HSInCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149280,54 FREUND,14211,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149281,47 SHIRLEY,14215,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,UnDefinedProtocols,DeadLocks,Autonomous,AutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149282,2635 DELAWARE,14216,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,DefinedOwnership,UnDefinedControls,VeryGoodReputation
149286,134 MIDDLESEX,14216,HardwareInCompatiable,HSCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149287,236 WELLINGTON,14216,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149288,392 SUMMER,14213,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149294,110 BROADWAY,14203,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149297,811 BEST,14211,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,HighVariety,DefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,DefinedControls,VeryGoodReputation
149298,127 CUSHING,14220,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149300,290 WELLINGTON,14216,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,DefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149301,31 LA FORCE,14207,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,HighVariety,DefinedProtocols,DeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149302,126 PURDY,14208,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,DefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149303,36 LINCOLN,14222,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149305,46 NORMAN,14210,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,AutDivVal,DefinedOwnership,DefinedControls,VeryGoodReputation
149307,55 CONNELLY,14215,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149308,141 BENZINGER,14206,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,HighVariety,DefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149309,352 PARKER,14216,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,DefinedControls,VeryGoodReputation
149316,1171 DELAVAN EAST,14211,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149317,363 SANDERS,14216,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149319,249 DELAWARE,14202,HardwareCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149320,154 ST LAWRENCE,14216,HardwareCompatiable,HSInCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,LowReputation
149321,282 HOYT,14213,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149322,565 ABBOTT,14220,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,DefinedControls,GoodReputation
180059,315 PARKER,14216,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149324,237 RODNEY,14214,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,DefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149325,20 CONNELLY,14215,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,LowVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149327,292 DELAVAN WEST,14213,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149328,1370 FILLMORE,14211,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149329,157 DEWEY,14214,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,DefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149330,105 ARDEN,14215,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,LowVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149331,333 PENNSYLVANIA,14201,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,UnDefinedControls,VeryGoodReputation
149332,188 HUTCHINSON,14215,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,DefinedProtocols,DeadLocks,Autonomous,AutDivVal,DefinedOwnership,DefinedControls,VeryGoodReputation
149333,317 CHOATE,14220,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149334,455 NIAGARA,14201,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,AutDivVal,DefinedOwnership,DefinedControls,VeryGoodReputation
149419,30 TAFT,14214,HardwareInCompatiable,HSCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149335,49 FERRY EAST,14208,HardwareCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,DefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149336,218 ENGLEWOOD,14214,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,LowVariety,DefinedProtocols,NoDeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149338,376 GRANT,14213,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,DefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,VeryGoodReputation
149339,85 CLEVELAND AVE,14222,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149341,38 OAKLAND,14222,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,DefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149347,129 ARGUS,14207,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,DefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149350,18 MARSHALL,14211,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,DefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149351,1 SENECA,14203,HardwareCompatiable,HSCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,DefinedControls,VeryGoodReputation
149352,136 BERKSHIRE,14215,HardwareInCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,HighVariety,DefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149355,420 JERSEY,14213,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,DefinedRequirements,NotScalable,LowVariety,DefinedProtocols,DeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149356,420 JERSEY,14213,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,UnDefinedRequirements,Scalable,LowVariety,DefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149357,798 FILLMORE,14212,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,LowVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149358,41 TITUS,14212,HardwareCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,UnDefinedControls,GoodReputation
149359,42 BISSELL,14211,HardwareCompatiable,HSCompatiable,SoftwareInCompatiable,UnDefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
149360,344 RICHMOND,14222,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,UnDefinedRequirements,Scalable,HighVariety,DefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149361,351 VOORHEES,14216,HardwareCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,HighVariety,UnDefinedProtocols,NoDeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149362,171 ALABAMA,14204,HardwareInCompatiable,HSCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,LowVariety,DefinedProtocols,DeadLocks,NonAutonomous,NoAutDivVal,UnDefinedOwnership,DefinedControls,GoodReputation
149379,233 SHUMWAY,14212,HardwareCompatiable,HSInCompatiable,SoftwareCompatiable,UnDefinedCapabilities,UnDefinedRequirements,NotScalable,HighVariety,UnDefinedProtocols,NoDeadLocks,Autonomous,NoAutDivVal,DefinedOwnership,DefinedControls,GoodReputation
149380,369 WASHINGTON,14203,HardwareInCompatiable,HSInCompatiable,SoftwareInCompatiable,DefinedCapabilities,DefinedRequirements,Scalable,HighVariety,DefinedProtocols,DeadLocks,NonAutonomous,AutDivVal,UnDefinedOwnership,UnDefinedControls,GoodReputation
